"","X","time","value"
"1",1,1956,0.465
"2",2,1956.25,0.532
"3",3,1956.5,0.561
"4",4,1956.75,0.57
"5",5,1957,0.529
"6",6,1957.25,0.604
"7",7,1957.5,0.603
"8",8,1957.75,0.582
"9",9,1958,0.554
"10",10,1958.25,0.62
"11",11,1958.5,0.646
"12",12,1958.75,0.637
"13",13,1959,0.573
"14",14,1959.25,0.673
"15",15,1959.5,0.69
"16",16,1959.75,0.681
"17",17,1960,0.621
"18",18,1960.25,0.698
"19",19,1960.5,0.753
"20",20,1960.75,0.728
"21",21,1961,0.688
"22",22,1961.25,0.737
"23",23,1961.5,0.742
"24",24,1961.75,0.692
"25",25,1962,0.637
"26",26,1962.25,0.757
"27",27,1962.5,0.783
"28",28,1962.75,0.757
"29",29,1963,0.674
"30",30,1963.25,0.774
"31",31,1963.5,0.835
"32",32,1963.75,0.838
"33",33,1964,0.797
"34",34,1964.25,0.904
"35",35,1964.5,0.949
"36",36,1964.75,0.975
"37",37,1965,0.902
"38",38,1965.25,0.974
"39",39,1965.5,0.969
"40",40,1965.75,0.967
"41",41,1966,0.849
"42",42,1966.25,0.961
"43",43,1966.5,0.966
"44",44,1966.75,0.922
"45",45,1967,0.836
"46",46,1967.25,0.998
"47",47,1967.5,1.025
"48",48,1967.75,0.971
"49",49,1968,0.892
"50",50,1968.25,0.973
"51",51,1968.5,1.047
"52",52,1968.75,1.017
"53",53,1969,0.948
"54",54,1969.25,1.032
"55",55,1969.5,1.19
"56",56,1969.75,1.136
"57",57,1970,1.049
"58",58,1970.25,1.134
"59",59,1970.5,1.229
"60",60,1970.75,1.188
"61",61,1971,1.058
"62",62,1971.25,1.209
"63",63,1971.5,1.199
"64",64,1971.75,1.253
"65",65,1972,1.07
"66",66,1972.25,1.282
"67",67,1972.5,1.303
"68",68,1972.75,1.281
"69",69,1973,1.148
"70",70,1973.25,1.305
"71",71,1973.5,1.342
"72",72,1973.75,1.452
"73",73,1974,1.184
"74",74,1974.25,1.352
"75",75,1974.5,1.316
"76",76,1974.75,1.353
"77",77,1975,1.121
"78",78,1975.25,1.297
"79",79,1975.5,1.318
"80",80,1975.75,1.281
"81",81,1976,1.109
"82",82,1976.25,1.299
"83",83,1976.5,1.341
"84",84,1976.75,1.29
"85",85,1977,1.101
"86",86,1977.25,1.284
"87",87,1977.5,1.321
"88",88,1977.75,1.317
"89",89,1978,1.122
"90",90,1978.25,1.261
"91",91,1978.5,1.312
"92",92,1978.75,1.298
"93",93,1979,1.205
"94",94,1979.25,1.302
"95",95,1979.5,1.377
"96",96,1979.75,1.359
"97",97,1980,1.232
"98",98,1980.25,1.386
"99",99,1980.5,1.44
"100",100,1980.75,1.439
"101",101,1981,1.282
"102",102,1981.25,1.573
"103",103,1981.5,1.533
"104",104,1981.75,1.641
"105",105,1982,1.337
"106",106,1982.25,1.575
"107",107,1982.5,1.475
"108",108,1982.75,1.357
"109",109,1983,1.086
"110",110,1983.25,1.158
"111",111,1983.5,1.279
"112",112,1983.75,1.313
"113",113,1984,1.166
"114",114,1984.25,1.373
"115",115,1984.5,1.456
"116",116,1984.75,1.495
"117",117,1985,1.251
"118",118,1985.25,1.456
"119",119,1985.5,1.631
"120",120,1985.75,1.555
"121",121,1986,1.375
"122",122,1986.25,1.546
"123",123,1986.5,1.568
"124",124,1986.75,1.561
"125",125,1987,1.332
"126",126,1987.25,1.458
"127",127,1987.5,1.501
"128",128,1987.75,1.615
"129",129,1988,1.418
"130",130,1988.25,1.625
"131",131,1988.5,1.77
"132",132,1988.75,1.791
"133",133,1989,1.621
"134",134,1989.25,1.719
"135",135,1989.5,1.972
"136",136,1989.75,1.894
"137",137,1990,1.565
"138",138,1990.25,1.645
"139",139,1990.5,1.658
"140",140,1990.75,1.668
"141",141,1991,1.343
"142",142,1991.25,1.441
"143",143,1991.5,1.444
"144",144,1991.75,1.497
"145",145,1992,1.289
"146",146,1992.25,1.501
"147",147,1992.5,1.539
"148",148,1992.75,1.568
"149",149,1993,1.45
"150",150,1993.25,1.668
"151",151,1993.5,1.648
"152",152,1993.75,1.863
"153",153,1994,1.468
"154",154,1994.25,1.755
"155",155,1994.5,1.962
"156",156,1994.75,1.833
"157",157,1995,1.626
"158",158,1995.25,1.703
"159",159,1995.5,1.733
"160",160,1995.75,1.545
"161",161,1996,1.526
"162",162,1996.25,1.593
"163",163,1996.5,1.706
"164",164,1996.75,1.699
"165",165,1997,1.511
"166",166,1997.25,1.785
"167",167,1997.5,1.826
"168",168,1997.75,1.83
"169",169,1998,1.719
"170",170,1998.25,1.861
"171",171,1998.5,1.956
"172",172,1998.75,2.067
"173",173,1999,1.737
"174",174,1999.25,1.944
"175",175,1999.5,2.005
"176",176,1999.75,2.027
"177",177,2000,1.835
"178",178,2000.25,2.07
"179",179,2000.5,1.898
"180",180,2000.75,1.652
"181",181,2001,1.554
"182",182,2001.25,1.717
"183",183,2001.5,1.679
"184",184,2001.75,1.836
"185",185,2002,1.729
"186",186,2002.25,1.992
"187",187,2002.5,2.03
"188",188,2002.75,1.978
"189",189,2003,1.831
"190",190,2003.25,1.892
"191",191,2003.5,2.227
"192",192,2003.75,2.09
"193",193,2004,1.963
"194",194,2004.25,2.18
"195",195,2004.5,2.307
"196",196,2004.75,2.157
"197",197,2005,1.98
"198",198,2005.25,2.481
"199",199,2005.5,2.34
"200",200,2005.75,2.265
"201",201,2006,2.027
"202",202,2006.25,2.278
"203",203,2006.5,2.427
"204",204,2006.75,2.451
"205",205,2007,2.14
"206",206,2007.25,2.362
"207",207,2007.5,2.536
